reward_demo_avg,reward_gen_avg
0.019717,0.021998
0.018723,0.018248
0.014433,0.015649
0.010074,0.011594
0.009332,0.008846
0.008069,0.005377
0.002253,0.002502
0.002463,-0.000111
-0.001189,-0.002965
-0.002531,-0.003323
-0.005541,-0.006284
-0.008324,-0.008327
-0.008393,-0.009661
-0.011560,-0.011482
-0.010022,-0.012799
-0.014445,-0.015535
-0.015138,-0.017013
-0.017213,-0.019215
-0.019551,-0.020812
-0.020751,-0.021944
-0.023367,-0.024265
-0.025432,-0.025782
-0.025609,-0.027147
-0.027299,-0.029026
-0.028285,-0.030322
-0.031523,-0.031815
-0.033181,-0.033367
-0.033878,-0.035510
-0.037245,-0.036477
-0.037857,-0.038836
-0.038229,-0.039685
-0.043347,-0.041748
-0.042165,-0.043469
-0.044781,-0.045334
-0.046500,-0.046856
-0.048529,-0.048355
-0.048577,-0.049852
-0.049912,-0.051895
-0.053513,-0.053972
-0.053769,-0.055836
-0.055722,-0.057701
-0.057757,-0.058996
-0.060088,-0.060815
-0.058521,-0.062825
-0.063120,-0.064215
-0.065001,-0.065891
-0.067395,-0.067671
-0.066169,-0.068511
-0.068704,-0.070886
-0.071336,-0.072839
-0.074270,-0.075278
-0.078201,-0.075310
-0.074349,-0.077941
-0.079773,-0.079917
-0.077736,-0.081564
-0.080006,-0.083674
-0.085598,-0.086442
-0.085565,-0.087579
-0.092075,-0.089676
-0.090975,-0.091410
-0.093561,-0.093108
-0.093286,-0.096254
-0.095341,-0.095736
-0.098853,-0.098859
-0.098306,-0.100132
-0.102844,-0.101626
-0.101063,-0.105218
-0.103196,-0.105231
-0.106187,-0.108478
-0.109815,-0.109140
-0.108493,-0.110774
-0.111394,-0.114144
-0.116114,-0.114892
-0.114732,-0.118887
-0.121274,-0.118777
-0.121642,-0.123798
-0.127367,-0.123667
-0.125835,-0.127337
-0.129367,-0.127133
-0.128135,-0.127231
-0.130680,-0.129702
-0.137566,-0.132944
-0.132658,-0.136206
-0.138558,-0.137608
-0.134961,-0.140238
-0.138520,-0.141132
-0.140166,-0.142273
-0.142818,-0.143488
-0.145761,-0.147182
-0.146803,-0.150349
-0.151893,-0.151217
-0.151716,-0.155584
-0.154802,-0.158151
-0.159205,-0.161277
-0.152259,-0.163355
-0.156237,-0.164122
-0.156648,-0.164458
-0.166437,-0.170701
-0.162633,-0.167725
-0.167243,-0.173158
-0.164782,-0.171775
-0.173172,-0.177969
-0.176944,-0.175281
-0.179768,-0.182872
-0.177082,-0.184125
-0.195691,-0.187619
-0.190863,-0.184916
-0.193421,-0.192649
-0.192440,-0.192743
-0.186333,-0.192825
-0.183771,-0.194730
-0.197012,-0.200794
-0.193353,-0.201679
-0.193489,-0.201859
-0.209871,-0.199907
-0.194873,-0.207933
-0.214978,-0.210473
-0.206217,-0.210497
-0.209659,-0.211281
-0.222501,-0.212374
-0.217913,-0.213770
-0.220440,-0.220903
-0.225916,-0.220803
-0.223492,-0.219860
-0.218918,-0.224962
-0.225025,-0.230898
-0.233155,-0.229442
-0.236407,-0.236886
-0.245358,-0.240715
-0.234982,-0.240000
-0.226987,-0.250840
-0.228590,-0.240752
-0.238280,-0.243041
-0.235424,-0.244516
-0.244858,-0.247679
-0.248354,-0.255439
-0.248678,-0.256363
-0.254101,-0.261352
-0.258143,-0.256511
-0.262643,-0.261240
-0.270361,-0.261498
-0.272089,-0.268897
-0.268909,-0.268649
-0.260950,-0.271988
-0.283815,-0.273805
-0.274469,-0.275739
-0.276726,-0.280866
-0.257579,-0.277858
-0.286252,-0.284807
-0.282310,-0.285855
-0.289108,-0.286920
-0.298212,-0.289158
-0.286064,-0.291729
-0.286935,-0.294928
-0.292737,-0.292420
-0.291243,-0.296687
-0.303279,-0.300717
-0.305853,-0.307902
-0.315382,-0.305240
-0.298082,-0.309515
-0.306938,-0.316711
-0.307243,-0.319533
-0.320001,-0.320066
-0.329142,-0.318930
-0.322618,-0.317675
-0.320520,-0.321697
-0.320010,-0.326100
-0.316655,-0.329097
-0.339020,-0.329084
-0.318035,-0.326511
-0.338937,-0.328118
-0.341265,-0.330132
-0.339593,-0.339568
-0.339330,-0.335386
-0.329919,-0.347204
-0.330963,-0.349307
-0.334755,-0.345535
-0.339599,-0.348526
-0.349945,-0.352447
-0.359228,-0.355345
-0.351688,-0.357921
-0.352037,-0.347312
-0.363815,-0.363253
-0.353090,-0.355679
-0.368168,-0.361332
-0.368456,-0.368250
-0.361074,-0.373879
